feature_id,facility_name_ar,facility_type,primary_candidate_image_id,manual_review_completed,visual_match_status,primary_suitability,reviewer_decision,shared_conflict_status,rights_status,institutional_approval_status,next_action
LY-HOT-000100,فندق زوارة,hotel,IMG-50C88BA946BC9961,false,cannot_determine,cannot_determine,defer,none,unknown,false,needs_manual_review
LY-HOT-000102,فندق سفاري,hotel,IMG-055271F1382E9D5A,false,cannot_determine,cannot_determine,defer,none,unknown,false,needs_manual_review
LY-HOT-000103,فندق سفاري 2,hotel,IMG-5FD7D29019D53E4A,false,cannot_determine,cannot_determine,defer,none,unknown,false,needs_manual_review
LY-HOT-000105,فندق ضيافة ونيس,hotel,IMG-9D9788DF5F512236,false,cannot_determine,cannot_determine,defer,none,unknown,false,needs_manual_review
LY-HOT-000106,فندق طرابلس الدولي,hotel,IMG-473D64CC0B4F095E,false,cannot_determine,cannot_determine,defer,none,unknown,false,needs_manual_review
LY-HOT-000107,فندق طليطلة,hotel,IMG-6580CB7EB805DFF0,false,cannot_determine,cannot_determine,defer,none,unknown,false,needs_manual_review
LY-HOT-000108,فندق طيبة,hotel,IMG-60AE2A53516D38B5,false,cannot_determine,cannot_determine,defer,none,unknown,false,needs_manual_review
LY-HOT-000109,فندق عمير,hostel,IMG-14E7A433C1AA23C9,false,cannot_determine,cannot_determine,defer,none,unknown,false,needs_manual_review
LY-HOT-000110,فندق عين الفرس,hotel,IMG-DA0ECA578123941F,false,cannot_determine,cannot_determine,defer,none,unknown,false,needs_manual_review
LY-HOT-000112,فندق غريان السياحي,hotel,IMG-6BCB30EA9DC9D585,false,cannot_determine,cannot_determine,defer,none,unknown,false,needs_manual_review
LY-HOT-000113,فندق قرطاج,hotel,IMG-046EDC55FFD15293,false,cannot_determine,cannot_determine,defer,unresolved,unknown,false,needs_shared_conflict_resolution
LY-HOT-000114,فندق قصر الظهرة,hotel,IMG-9177C7EFBB2B6B7C,false,cannot_determine,cannot_determine,defer,none,unknown,false,needs_manual_review
LY-HOT-000115,فندق قصر الفيروز,hotel,IMG-110FEF464D2C395F,false,cannot_determine,cannot_determine,defer,unresolved,unknown,false,needs_shared_conflict_resolution
LY-HOT-000116,فندق قمر صبراتة,hotel,IMG-418C257283B4249C,false,cannot_determine,cannot_determine,defer,none,unknown,false,needs_manual_review
LY-HOT-000118,فندق لبدة السياحي الخمس,hotel,IMG-67129E3029742E03,false,cannot_determine,cannot_determine,defer,none,unknown,false,needs_manual_review
LY-HOT-000119,فندق ليالي قرطاج,hotel,IMG-E6FB468A34553F69,false,cannot_determine,cannot_determine,defer,unresolved,unknown,false,needs_shared_conflict_resolution
LY-HOT-000120,فندق ليبيا,hostel,IMG-E154B829B141A067,false,cannot_determine,cannot_determine,defer,none,unknown,false,needs_manual_review
LY-HOT-000121,فندق مادي الحسان,hotel,IMG-433F949188978281,false,cannot_determine,cannot_determine,defer,none,unknown,false,needs_manual_review
LY-HOT-000123,فندق ومطعم الامتياز,hotel,IMG-4CC4FED28261BA62,false,cannot_determine,cannot_determine,defer,none,unknown,false,needs_manual_review
LY-HOT-000125,فندق يفرن,hotel,IMG-E62FE6C2A48E1957,false,cannot_determine,cannot_determine,defer,none,unknown,false,needs_manual_review
LY-HOT-000128,فندق الثريا السياحي,hotel,IMG-8D254ED37F12A687,false,cannot_determine,cannot_determine,defer,none,unknown,false,needs_manual_review
LY-HOT-000130,فندق البتراء,hotel,IMG-274B8FDFA79EB046,false,cannot_determine,cannot_determine,defer,none,unknown,false,needs_manual_review
LY-HOT-000131,فندق البردي,hotel,IMG-BD576D6C7A28616B,false,cannot_determine,cannot_determine,defer,none,unknown,false,needs_manual_review
LY-HOT-000132,فندق التلال,hotel,IMG-E4F857A3669A2646,false,cannot_determine,cannot_determine,defer,none,unknown,false,needs_manual_review
