feature_id,layer_id,name_ar,candidate_images,manually_reviewed_images,verified_correct_images,public_rights_images,approved_primary_images,approved_gallery_images,rights_unknown_images,deferred_images,rejected_images,coverage_status
WH-LY-002-C0008,world-heritage,المبنى المصلب,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-002-C0009,world-heritage,مبنى المجلس كابيتيليوم,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-002-C0010,world-heritage,بازيليكا جستنينيان,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-002-C0011,world-heritage,منزل بروقان,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-002-C0012,world-heritage,البوابة البيزنطية الشرقية,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-002-C0013,world-heritage,الكنائس,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-002-C0014,world-heritage,حمامات أوفانيوس,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-002-C0015,world-heritage,نصيب سيفران,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-002-C0016,world-heritage,بيت بيريستايل,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-002-C0017,world-heritage,حمامات ريجيو السابع,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-002-C0018,world-heritage,مقابر مسيحية تحت الأرض,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-002-C0019,world-heritage,متحف روماني,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-002-C0020,world-heritage,المتحف البونيقي,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-002-C0021,world-heritage,المسرح الروماني المدرج,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-002-C0022,world-heritage,معبد ايزيس وإيزوريس,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-002-C0023,world-heritage,صبراتة القديمة ليبرتون,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-002-C0024,world-heritage,Antonine Temple,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-002-C0025,world-heritage,The Punic Tombs,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-002-C0026,world-heritage,كوريا (مجلس الشيوخ),0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-002-C0027,world-heritage,كنيسة جستنيان,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-002-C0028,world-heritage,معبد سيرابيس,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-002-C0029,world-heritage,معبد ليبر باتر,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-002-C0030,world-heritage,معبد الفوروم الجنوبي,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-002-C0031,world-heritage,حوض المعمودية,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-002-C0032,world-heritage,معبد سيرابيس,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-002-C0033,world-heritage,حوض المعمودية,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-002-C0034,world-heritage,Serapaeum (Sabratha,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-002-C0035,world-heritage,معبد الكابيتول يوم,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-002-C0036,world-heritage,حمامات بوسيدون,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-002-C0037,world-heritage,معبد هرقل,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-002-C0038,world-heritage,معبد ايزيس واوزوريس,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-002-C0039,world-heritage,حمامات المسرح,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-002-C0040,world-heritage,المراحيض العامة,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-002-C0041,world-heritage,اثار صبراته,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-002-C0042,world-heritage,مسرح صبراته الأثري,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-002-C0043,world-heritage,الضريح البونيقي,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-002-C0044,world-heritage,,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-002-C0045,world-heritage,الامفيثياتر,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-002-C0046,world-heritage,مدينة أبروتون التاريخية,0,0,0,0,0,0,0,0,0,no_verified_images
