feature_id,layer_id,name_ar,name_en,city_ar,municipality_ar,heritage_status,unesco_component,geometry_type,publication_status,current_local_image_count,current_remote_image_count,current_primary_image,review_priority,notes
LY-AKA-000087,akakus,بئر تلووا,,غات,,,,Point,,0,0,,P2,Tracked KML feature; IDs read from ExtendedData.
LY-AKA-000088,akakus,بئر عليوين,,غات,,,,Point,,0,0,,P2,Tracked KML feature; IDs read from ExtendedData.
LY-AKA-000089,akakus,بئر تيلالان,,غات,,,,Point,,0,0,,P2,Tracked KML feature; IDs read from ExtendedData.
LY-AKA-000090,akakus,بئر سلماجين,,غات,,,,Point,,0,0,,P2,Tracked KML feature; IDs read from ExtendedData.
LY-AKA-000091,akakus,بئر تيترزين,,غات,,,,Point,,0,0,,P2,Tracked KML feature; IDs read from ExtendedData.
LY-AKA-000092,akakus,قلتة تين اميتيلي,,غات,,,,Point,,0,0,,P2,Tracked KML feature; IDs read from ExtendedData.
LY-AKA-000093,akakus,قلتة بوبو,,غات,,,,Point,,0,0,,P2,Tracked KML feature; IDs read from ExtendedData.
LY-AKA-000094,akakus,قلتة تيبستين,,غات,,,,Point,,0,0,,P2,Tracked KML feature; IDs read from ExtendedData.
LY-AKA-000095,akakus,قلتة انتريكي,,غات,,,,Point,,0,0,,P2,Tracked KML feature; IDs read from ExtendedData.
LY-AKA-000096,akakus,الفوار الساخن,,غات,,,,Point,,0,0,,P2,Tracked KML feature; IDs read from ExtendedData.
LY-AKA-000097,akakus,قلتة تيقلتري,,غات,,,,Point,,0,0,,P2,Tracked KML feature; IDs read from ExtendedData.
LY-AKA-000098,akakus,وادي تيهرين,,غات,,,,Point,,0,0,,P2,Tracked KML feature; IDs read from ExtendedData.
LY-AKA-000099,akakus,مدخل تين لالان,,غات,,,,Point,,0,0,,P2,Tracked KML feature; IDs read from ExtendedData.
LY-AKA-000100,akakus,نقطة مراقبة الشرطة السياحية,,غات,,,,Point,,0,0,,P2,Tracked KML feature; IDs read from ExtendedData.
LY-AKA-000101,akakus,مدخل حقل الفيل,,غات,,,,Point,,0,0,,P2,Tracked KML feature; IDs read from ExtendedData.
LY-AKA-000102,akakus,مدخل يفضي إلى مساك ستافت,,غات,,,,Point,,0,0,,P2,Tracked KML feature; IDs read from ExtendedData.
LY-AKA-000103,akakus,مدخل تخرخوري,,غات,,,,Point,,0,0,,P2,Tracked KML feature; IDs read from ExtendedData.
LY-AKA-000104,akakus,ممر تلمسين,,غات,,,,Point,,0,0,,P2,Tracked KML feature; IDs read from ExtendedData.
LY-AKA-000105,akakus,المثلث الحدودي,,غات,,,,Point,,0,0,,P2,Tracked KML feature; IDs read from ExtendedData.
LY-AKA-000106,akakus,متخندوش,,غات,,,,Point,,1,0,,P2,Tracked KML feature; IDs read from ExtendedData.
LY-AKA-000107,akakus,تفرع يفضي إلى الأكاكوس,,غات,,,,Point,,0,0,,P2,Tracked KML feature; IDs read from ExtendedData.
LY-AKA-000108,akakus,قرية تين أظاريف,,غات,,,,Point,,0,0,,P2,Tracked KML feature; IDs read from ExtendedData.
LY-AKA-000109,akakus,مدخل حقل الفيل,,غات,,,,Point,,0,0,,P2,Tracked KML feature; IDs read from ExtendedData.
LY-AKA-000110,akakus,مدينة غات القديمة,,غات,,,,Point,,0,0,,P2,Tracked KML feature; IDs read from ExtendedData.
LY-AKA-000111,akakus,موقع تين الشيخ,,غات,,,,Point,,0,0,,P2,Tracked KML feature; IDs read from ExtendedData.
LY-AKA-000112,akakus,موقع فن صخري,,غات,,,,Point,,0,0,,P2,Tracked KML feature; IDs read from ExtendedData.
LY-AKA-000113,akakus,موقع فن صخري,,غات,,,,Point,,0,0,,P2,Tracked KML feature; IDs read from ExtendedData.
LY-AKA-000114,akakus,موقع فن صخري أويس,,غات,,,,Point,,0,0,,P2,Tracked KML feature; IDs read from ExtendedData.
LY-AKA-000115,akakus,موقع فن صخري,,غات,,,,Point,,0,0,,P2,Tracked KML feature; IDs read from ExtendedData.
LY-AKA-000116,akakus,مدينة بركت القديمة,,غات,,,,Point,,0,0,,P2,Tracked KML feature; IDs read from ExtendedData.
LY-AKA-000117,akakus,موقع فن صخري,,غات,,,,Point,,0,0,,P2,Tracked KML feature; IDs read from ExtendedData.
LY-AKA-000118,akakus,موقع فن صخري,,غات,,,,Point,,0,0,,P2,Tracked KML feature; IDs read from ExtendedData.
LY-AKA-000119,akakus,رسوم فن صخري - تاهوين,,غات,,,,Point,,0,0,,P2,Tracked KML feature; IDs read from ExtendedData.
LY-AKA-000120,akakus,موقع فن صخري أويس,,غات,,,,Point,,0,0,,P2,Tracked KML feature; IDs read from ExtendedData.
LY-AKA-000121,akakus,موقع فن صخري,,غات,,,,Point,,0,0,,P2,Tracked KML feature; IDs read from ExtendedData.
LY-AKA-000122,akakus,موقع فن صخري,,غات,,,,Point,,0,0,,P2,Tracked KML feature; IDs read from ExtendedData.
LY-AKA-000123,akakus,موقع فن صخري,,غات,,,,Point,,0,0,,P2,Tracked KML feature; IDs read from ExtendedData.
LY-AKA-000124,akakus,موقع فن صخري,,غات,,,,Point,,0,0,,P2,Tracked KML feature; IDs read from ExtendedData.
LY-AKA-000125,akakus,موقع فن صخري تين الشيخ,,غات,,,,Point,,0,0,,P2,Tracked KML feature; IDs read from ExtendedData.
LY-AKA-000126,akakus,موقع فن صخري,,غات,,,,Point,,0,0,,P2,Tracked KML feature; IDs read from ExtendedData.
LY-AKA-000127,akakus,قلعة كوكمنت,,غات,,,,Point,,0,0,,P2,Tracked KML feature; IDs read from ExtendedData.
LY-AKA-000128,akakus,موقع فن صخري,,غات,,,,Point,,0,0,,P2,Tracked KML feature; IDs read from ExtendedData.
LY-AKA-000129,akakus,موقع فن صخري,,غات,,,,Point,,0,0,,P2,Tracked KML feature; IDs read from ExtendedData.
LY-AKA-000130,akakus,موقع فن صخري,,غات,,,,Point,,0,0,,P2,Tracked KML feature; IDs read from ExtendedData.
LY-AKA-000131,akakus,موقع فن صخري,,غات,,,,Point,,0,0,,P2,Tracked KML feature; IDs read from ExtendedData.
LY-AKA-000132,akakus,موقع فن صخري,,غات,,,,Point,,0,0,,P2,Tracked KML feature; IDs read from ExtendedData.
LY-AKA-000133,akakus,موقع فن صخري وادي تيسبت,,غات,,,,Point,,0,0,,P2,Tracked KML feature; IDs read from ExtendedData.
LY-AKA-000134,akakus,موقع فن صخري,,غات,,,,Point,,0,0,,P2,Tracked KML feature; IDs read from ExtendedData.
LY-AKA-000135,akakus,موقع فن صخري,,غات,,,,Point,,0,0,,P2,Tracked KML feature; IDs read from ExtendedData.
LY-AKA-000136,akakus,القلعة الايطالية,,غات,,,,Point,,0,0,,P2,Tracked KML feature; IDs read from ExtendedData.
LY-AKA-000137,akakus,القلعة الفرنسية,,غات,,,,Point,,0,0,,P2,Tracked KML feature; IDs read from ExtendedData.
LY-AKA-000138,akakus,جامع أغرم العتيق,,غات,,,,Point,,0,0,,P2,Tracked KML feature; IDs read from ExtendedData.
LY-AKA-000139,akakus,حصن آغرم نظاريف,,غات,,,,Point,,0,0,,P2,Tracked KML feature; IDs read from ExtendedData.
LY-AKA-000140,akakus,موقع جرمنتي - تين أفلا,,غات,,,,Point,,0,0,,P2,Tracked KML feature; IDs read from ExtendedData.
LY-AKA-000141,akakus,مدافن جرمنتية,,غات,,,,Point,,0,0,,P2,Tracked KML feature; IDs read from ExtendedData.
LY-AKA-000142,akakus,مدافن أثرية,,غات,,,,Point,,0,0,,P2,Tracked KML feature; IDs read from ExtendedData.
LY-AKA-000143,akakus,مدافن حجرية,,غات,,,,Point,,0,0,,P2,Tracked KML feature; IDs read from ExtendedData.
