feature_id,layer_id,feature_name_ar,primary_image_id,master_image_id,source_relative_path,visual_match_status,technical_quality,rights_status,publication_permission,selection_score,selection_reason,decision_status,manual_review_completed,reviewer_name,review_date,notes
WH-LY-001-0030,world-heritage,نيمافيوم,,,,cannot_determine,,unknown,requires_review,,No imported human decision with documented public rights.,no_approved_primary,false,,,
WH-LY-001-0031,world-heritage,معبد جوبيتير,,,,cannot_determine,,unknown,requires_review,,No imported human decision with documented public rights.,no_approved_primary,false,,,
WH-LY-001-0032,world-heritage,الجدار البيزنطي,,,,cannot_determine,,unknown,requires_review,,No imported human decision with documented public rights.,no_approved_primary,false,,,
WH-LY-001-0033,world-heritage,ضريح الدويرات,,,,cannot_determine,,unknown,requires_review,,No imported human decision with documented public rights.,no_approved_primary,false,,,
WH-LY-001-0034,world-heritage,متحف الفسيفساء,,,,cannot_determine,,unknown,requires_review,,No imported human decision with documented public rights.,no_approved_primary,false,,,
WH-LY-001-0035,world-heritage,مقاهي واستراحة وموقف سيارات,,,,cannot_determine,,unknown,requires_review,,No imported human decision with documented public rights.,no_approved_primary,false,,,
WH-LY-001-0036,world-heritage,مطعم الجرة,,,,cannot_determine,,unknown,requires_review,,No imported human decision with documented public rights.,no_approved_primary,false,,,
WH-LY-001-0037,world-heritage,ساحة الرياضة (بالسترا),,,,cannot_determine,,unknown,requires_review,,No imported human decision with documented public rights.,no_approved_primary,false,,,
WH-LY-001-0038,world-heritage,متحف الفسيفساء,,,,cannot_determine,,unknown,requires_review,,No imported human decision with documented public rights.,no_approved_primary,false,,,
WH-LY-001-0039,world-heritage,معبد سيرابيس,,,,cannot_determine,,unknown,requires_review,,No imported human decision with documented public rights.,no_approved_primary,false,,,
WH-LY-001-0040,world-heritage,وادي لبدة,,,,cannot_determine,,unknown,requires_review,,No imported human decision with documented public rights.,no_approved_primary,false,,,
WH-LY-001-0041,world-heritage,مصيف الخمس,,,,cannot_determine,,unknown,requires_review,,No imported human decision with documented public rights.,no_approved_primary,false,,,
WH-LY-001-0042,world-heritage,متحف لبدة,,,,cannot_determine,,unknown,requires_review,,No imported human decision with documented public rights.,no_approved_primary,false,,,
WH-LY-001-0043,world-heritage,مطعم الجرة,,,,cannot_determine,,unknown,requires_review,,No imported human decision with documented public rights.,no_approved_primary,false,,,
WH-MAIN-001-C0044,world-heritage,قوس ماركوس أوروليوس,,,,cannot_determine,,unknown,requires_review,,No imported human decision with documented public rights.,no_approved_primary,false,,,
WH-LY-001-0044,world-heritage,حمامات هادريان,,,,cannot_determine,,unknown,requires_review,,No imported human decision with documented public rights.,no_approved_primary,false,,,
