image_id,source_relative_path,master_image_id,layer_id,feature_id,feature_name_ar,feature_name_en,linkage_basis,layer_assignment_status,feature_linkage_status,primary_image,gallery_image,institutional_display_authorization,rights_status,derivative_status,runtime_status,notes
IMG-387D9E65B1E12FAE,assets/images/hotels/hotels-LY-HOTELS-00003-01.webp,,hotels,LY-HOT-000003,فندق جوهرة الواحة,Jawharat Al Wahah Hotel),existing_link,user_curated_confirmed,confirmed,true,true,approved,unknown,existing,linked,Existing runtime linkage preserved.
IMG-363924CF954F3695,assets/images/hotels/hotels-LY-HOTELS-00003-02.webp,,hotels,LY-HOT-000003,فندق جوهرة الواحة,Jawharat Al Wahah Hotel),existing_link,user_curated_confirmed,confirmed,false,true,approved,unknown,existing,linked,Existing runtime linkage preserved.
IMG-A93A75B2C2CE8012,assets/images/hotels/hotels-LY-HOTELS-00003-03.webp,,hotels,LY-HOT-000003,فندق جوهرة الواحة,Jawharat Al Wahah Hotel),existing_link,user_curated_confirmed,confirmed,false,true,approved,unknown,existing,linked,Existing runtime linkage preserved.
IMG-F31703E6FA237E36,assets/images/hotels/hotels-LY-HOTELS-00003-04.webp,,hotels,LY-HOT-000003,فندق جوهرة الواحة,Jawharat Al Wahah Hotel),existing_link,user_curated_confirmed,confirmed,false,true,approved,unknown,existing,linked,Existing runtime linkage preserved.
IMG-ADC63DAEC24CB485,assets/images/hotels/hotels-LY-HOTELS-00004-01.webp,,hotels,LY-HOT-000004,فندق تبرس,Tibrasti Hotel,existing_link,user_curated_confirmed,confirmed,true,true,approved,unknown,existing,linked,Existing runtime linkage preserved.
IMG-D9F9B30D4C6BBF89,assets/images/hotels/hotels-LY-HOTELS-00004-02.webp,,hotels,LY-HOT-000004,فندق تبرس,Tibrasti Hotel,existing_link,user_curated_confirmed,confirmed,false,true,approved,unknown,existing,linked,Existing runtime linkage preserved.
IMG-6540B1C5E5E6B3F5,assets/images/hotels/hotels-LY-HOTELS-00005-04.webp,,hotels,LY-HOT-000005,منتجع شحات السياحي,Shahat Tourist Resort,existing_link,user_curated_confirmed,confirmed,true,true,approved,unknown,existing,linked,Existing runtime linkage preserved.
IMG-9859161E7A178B00,assets/images/hotels/hotels-LY-HOTELS-00005-05.webp,,hotels,LY-HOT-000005,منتجع شحات السياحي,Shahat Tourist Resort,existing_link,user_curated_confirmed,confirmed,false,true,approved,unknown,existing,linked,Existing runtime linkage preserved.
IMG-F67141A99D309C4E,assets/images/hotels/hotels-LY-HOTELS-00005-06.webp,,hotels,LY-HOT-000005,منتجع شحات السياحي,Shahat Tourist Resort,existing_link,user_curated_confirmed,confirmed,false,true,approved,unknown,existing,linked,Existing runtime linkage preserved.
IMG-647CB24DEA6446B8,assets/images/hotels/hotels-LY-HOTELS-00006-04.webp,,hotels,LY-HOT-000006,فندق المنارة,Al Manara Tourist Hotel,existing_link,user_curated_confirmed,confirmed,true,true,approved,unknown,existing,linked,Existing runtime linkage preserved.
IMG-A4C07047B47C3EDF,assets/images/hotels/hotels-LY-HOTELS-00006-05.webp,,hotels,LY-HOT-000006,فندق المنارة,Al Manara Tourist Hotel,existing_link,user_curated_confirmed,confirmed,false,true,approved,unknown,existing,linked,Existing runtime linkage preserved.
IMG-B1B4F16A63CCC0E6,assets/images/hotels/hotels-LY-HOTELS-00006-06.webp,,hotels,LY-HOT-000006,فندق المنارة,Al Manara Tourist Hotel,existing_link,user_curated_confirmed,confirmed,false,true,approved,unknown,existing,linked,Existing runtime linkage preserved.
IMG-1F4468E9AFCC97C5,assets/images/hotels/hotels-LY-HOTELS-00007-02.webp,,hotels,LY-HOT-000007,فندق لؤلؤة الخليج,Gulf Pearl Hotel,existing_link,user_curated_confirmed,confirmed,true,true,approved,unknown,existing,linked,Existing runtime linkage preserved.
IMG-3BED0BBEB12BF79B,assets/images/hotels/hotels-LY-HOTELS-00007-03.webp,,hotels,LY-HOT-000007,فندق لؤلؤة الخليج,Gulf Pearl Hotel,existing_link,user_curated_confirmed,confirmed,false,true,approved,unknown,existing,linked,Existing runtime linkage preserved.
IMG-4D4517827A009942,assets/images/hotels/hotels-LY-HOTELS-00008-04.webp,,hotels,LY-HOT-000008,فندق التلال الوسيطة البيضاء,Al Telal Al Waseeta Hotel,existing_link,user_curated_confirmed,confirmed,true,true,approved,unknown,existing,linked,Existing runtime linkage preserved.
IMG-62EDC71C799EF1A2,assets/images/hotels/hotels-LY-HOTELS-00008-05.webp,,hotels,LY-HOT-000008,فندق التلال الوسيطة البيضاء,Al Telal Al Waseeta Hotel,existing_link,user_curated_confirmed,confirmed,false,true,approved,unknown,existing,linked,Existing runtime linkage preserved.
IMG-B0C1EFCEA45BFD98,assets/images/hotels/hotels-LY-HOTELS-00008-06.webp,,hotels,LY-HOT-000008,فندق التلال الوسيطة البيضاء,Al Telal Al Waseeta Hotel,existing_link,user_curated_confirmed,confirmed,false,true,approved,unknown,existing,linked,Existing runtime linkage preserved.
IMG-2E0A5EC2EE0771E8,assets/images/hotels/hotels-LY-HOTELS-00008-07.webp,,hotels,LY-HOT-000008,فندق التلال الوسيطة البيضاء,Al Telal Al Waseeta Hotel,existing_link,user_curated_confirmed,confirmed,false,true,approved,unknown,existing,linked,Existing runtime linkage preserved.
IMG-9EC987BEF314B8B7,assets/images/hotels/hotels-LY-HOTELS-00009-01.webp,,hotels,LY-HOT-000009,العنود للشقق الفندقية,Alanoud Hotel Apartments,existing_link,user_curated_confirmed,confirmed,true,true,approved,unknown,existing,linked,Existing runtime linkage preserved.
IMG-05677F19ED68FE32,assets/images/hotels/hotels-LY-HOTELS-00009-02.webp,,hotels,LY-HOT-000009,العنود للشقق الفندقية,Alanoud Hotel Apartments,existing_link,user_curated_confirmed,confirmed,false,true,approved,unknown,existing,linked,Existing runtime linkage preserved.
IMG-82129250D0C6E5E5,assets/images/hotels/hotels-LY-HOTELS-00009-03.webp,,hotels,LY-HOT-000009,العنود للشقق الفندقية,Alanoud Hotel Apartments,existing_link,user_curated_confirmed,confirmed,false,true,approved,unknown,existing,linked,Existing runtime linkage preserved.
IMG-7C83445B2F56A262,assets/images/hotels/hotels-LY-HOTELS-00009-04.webp,,hotels,LY-HOT-000009,العنود للشقق الفندقية,Alanoud Hotel Apartments,existing_link,user_curated_confirmed,confirmed,false,true,approved,unknown,existing,linked,Existing runtime linkage preserved.
