feature_id,name_ar,facility_type,city_ar,candidate_images,current_images,master_candidates,high_quality_candidates,acceptable_candidates,ambiguous_candidates,rights_known,rights_unknown,primary_candidate,gallery_candidates,manual_review_required,coverage_status
LY-HOT-000123,فندق ومطعم الامتياز,hotel,,6,6,6,0,0,0,0,6,IMG-4CC4FED28261BA62,6,true,strong_candidate_coverage
LY-HOT-000124,فندق ومطعم النزهة,hotel,,0,0,0,0,0,0,0,0,,0,false,no_images
LY-HOT-000125,فندق يفرن,hotel,,1,1,1,0,0,0,0,1,IMG-E62FE6C2A48E1957,1,true,strong_candidate_coverage
LY-HOT-000126,طرابلس للشقق الفندقية,hotel,,0,0,0,0,0,0,0,0,,0,false,no_images
LY-HOT-000127,نزل طرابلس الحديث,hostel,,0,0,0,0,0,0,0,0,,0,false,no_images
LY-HOT-000128,فندق الثريا السياحي,hotel,,5,5,5,0,0,0,0,5,IMG-8D254ED37F12A687,5,true,strong_candidate_coverage
LY-HOT-000129,فندق الأنيس,hotel,,0,0,0,0,0,0,0,0,,0,false,no_images
LY-HOT-000130,فندق البتراء,hotel,,5,5,5,0,0,0,0,5,IMG-274B8FDFA79EB046,5,true,strong_candidate_coverage
LY-HOT-000131,فندق البردي,hotel,,4,4,4,0,0,0,0,4,IMG-BD576D6C7A28616B,4,true,strong_candidate_coverage
LY-HOT-000132,فندق التلال,hotel,,5,5,5,0,0,0,0,5,IMG-E4F857A3669A2646,5,true,strong_candidate_coverage
LY-HOT-000133,فندق الجبل الأخضر,hotel,,0,0,0,0,0,0,0,0,,0,false,no_images
LY-HOT-000134,فندق الجغبوب,hotel,,2,2,2,0,0,0,0,2,IMG-8084340B4BB7CB22,2,true,strong_candidate_coverage
LY-HOT-000135,فندق الجلاء,hotel,,3,3,3,0,0,0,0,3,IMG-94025569E10A3EC8,3,true,strong_candidate_coverage
LY-HOT-000137,فندق الخان الطرابلسي,hotel,يقع في شارع أربعة عرصات بالمدينة القديمة,9,9,9,0,0,0,0,9,IMG-692D357EF64EECF5,9,true,strong_candidate_coverage
LY-HOT-000138,فندق الرحاب,hotel,يقع الفندق في شارع ابن مطروح، بالقرب من ميدان السويحلي، ويبعد حوالي 10 دقائق بالسيارة عن المدينة القديمة والقلعة الحمراء (السرايا الحمراء),2,2,2,0,0,0,0,2,IMG-29F498B195A17DAE,2,true,strong_candidate_coverage
LY-HOT-000140,فندق الزيتونة,hotel,,0,0,0,0,0,0,0,0,,0,false,no_images
LY-HOT-000142,فندق السلام,hotel,,0,0,0,0,0,0,0,0,,0,false,no_images
LY-HOT-000143,فندق ابن الرومي,hotel,فندق ابن الرومي طرابلس_شارع الرشيد,1,1,1,0,0,0,0,1,IMG-C04C7358AE4C64F2,1,true,strong_candidate_coverage
LY-HOT-000144,فندق اجدابيا,hotel,,0,0,0,0,0,0,0,0,,0,false,no_images
LY-HOT-000145,فندق الحياة,hotel,93FM+HG8، مصراتة,5,5,5,0,0,0,0,5,IMG-4F1BF241FA1C1032,5,true,strong_candidate_coverage
LY-HOT-000146,فندق الصحراوي,hotel,,0,0,0,0,0,0,0,0,,0,false,no_images
LY-HOT-000148,فندق العوينات,hotel,,1,1,1,0,0,0,0,1,IMG-1E9790A7A8F159ED,1,true,strong_candidate_coverage
LY-HOT-000149,فندق الفردوس,hotel,يقع في منطقة المغار، وسط البلاد، درنة، ليبيا,0,0,0,0,0,0,0,0,,0,false,no_images
LY-HOT-000150,فندق الفضيل,hotel,,5,5,4,0,0,0,0,5,IMG-03C03752D4FFB0D9,5,true,strong_candidate_coverage
LY-HOT-000151,فندق الفضيل رأس لانوف,hotel,,2,2,2,0,0,0,0,2,IMG-7408B0FEE6E15B14,2,true,strong_candidate_coverage
LY-HOT-000152,فندق الفلك,hotel,,3,3,3,0,0,0,0,3,IMG-E3245A512704B018,3,true,strong_candidate_coverage
LY-HOT-000153,فندق القرضابية,hotel,,0,0,0,0,0,0,0,0,,0,false,no_images
LY-HOT-000154,فندق القلعة,hotel,,1,1,0,0,0,0,0,1,IMG-4DE50FE5C77F11DC,1,true,strong_candidate_coverage
LY-HOT-000155,فندق الكاظم,hotel,,1,1,1,0,0,0,0,1,IMG-C1A63B7C18A696CC,1,true,strong_candidate_coverage
LY-HOT-000157,فندق المبروك,hotel,يقع الفندق في شارع ابن الرومي، وهو متفرع من شارع الرشيد الشهير,3,3,3,0,0,0,0,3,IMG-65010E3F7285D3C4,3,true,strong_candidate_coverage
LY-HOT-000158,فندق المتوسط الخمس,hostel,"شارع 17 فبراير ...مقابل الجامع الجديد, Al Khums, Libya, 00218",3,3,3,0,0,0,0,3,IMG-4F0A3CE02FA1B883,3,true,strong_candidate_coverage
LY-HOT-000159,فندق المدينة,hotel,,0,0,0,0,0,0,0,0,,0,false,no_images
LY-HOT-000160,فندق المدينة,hotel,,4,4,4,0,0,0,0,4,IMG-4ECEDB1678C21ED6,4,true,strong_candidate_coverage
LY-HOT-000162,فندق المدينة,hotel,اجدابيا ليبيا,0,0,0,0,0,0,0,0,,0,false,no_images
LY-HOT-000163,فندق المرج السياحي,hotel,,4,4,4,0,0,0,0,4,IMG-4D69B0877B8F026F,4,true,strong_candidate_coverage
LY-HOT-000164,فندق المسيرة,hotel,,5,5,4,0,0,0,0,5,IMG-36DA0CCAB2BCB61C,5,true,strong_candidate_coverage
LY-HOT-000166,فندق المغرب العربي,hotel,,4,4,4,0,0,0,0,4,IMG-D345EAAFD727F3C0,4,true,strong_candidate_coverage
LY-HOT-000167,فندق المنار,hotel,,0,0,0,0,0,0,0,0,,0,false,no_images
LY-HOT-000168,فندق النادي الليبي,hotel,,0,0,0,0,0,0,0,0,,0,false,no_images
