feature_id,image_id,gallery_order,gallery_role,master_image_id,visual_match_status,rights_status,publication_permission,manual_review_completed,notes
LY-HOT-000041,IMG-F205440542C413A6,1,candidate,IMG-CFC43E4453D195D7,not_individually_verified,unknown,pending_institutional_approval,false,
LY-HOT-000041,IMG-F1C68A8603468221,1,candidate,IMG-D7549B9428A5D604,not_individually_verified,unknown,pending_institutional_approval,false,
LY-HOT-000042,IMG-C6DFB6BFEF341C5D,1,candidate,IMG-FC371968523F74F4,not_individually_verified,unknown,pending_institutional_approval,false,
LY-HOT-000042,IMG-042B1928C0DB2E32,1,candidate,IMG-0637E42C940F7E07,not_individually_verified,unknown,pending_institutional_approval,false,
LY-HOT-000045,IMG-2A5F837F7840D805,1,candidate,,not_individually_verified,unknown,pending_institutional_approval,false,
LY-HOT-000045,IMG-1243CC762B92A210,1,candidate,IMG-9F7AA5902825B18C,not_individually_verified,unknown,pending_institutional_approval,false,
LY-HOT-000046,IMG-2AE0615B4101D7F4,1,candidate,IMG-3219ADC72F5D3D54,not_individually_verified,unknown,pending_institutional_approval,false,
LY-HOT-000049,IMG-C7239FBDF94ED0B0,1,candidate,IMG-443FF103E9C980C5,not_individually_verified,unknown,pending_institutional_approval,false,
LY-HOT-000049,IMG-D99918C989D67ED1,1,candidate,IMG-9CBA64A32489C972,not_individually_verified,unknown,pending_institutional_approval,false,
LY-HOT-000049,IMG-C3B22F220B972700,1,candidate,IMG-87D2EFFFECCD54B8,not_individually_verified,unknown,pending_institutional_approval,false,
LY-HOT-000049,IMG-033D22EBF511990B,1,candidate,IMG-60EE78819E322F04,not_individually_verified,unknown,pending_institutional_approval,false,
LY-HOT-000049,IMG-FC7531F75F1D908E,1,candidate,IMG-49BED27537B37F32,not_individually_verified,unknown,pending_institutional_approval,false,
LY-HOT-000050,IMG-B51A8889CBB17DA7,1,candidate,IMG-DFF472B57CBC2904,not_individually_verified,unknown,pending_institutional_approval,false,
LY-HOT-000050,IMG-8ACF92A4CD6AE1F6,1,candidate,IMG-40128316546BFC00,not_individually_verified,unknown,pending_institutional_approval,false,
LY-HOT-000050,IMG-2B39F07AE708299E,1,candidate,IMG-C73477214D9BC4C1,not_individually_verified,unknown,pending_institutional_approval,false,
