link_id,feature_id,layer_id,feature_name_ar,image_id,source_relative_path,current_role,file_exists,technical_quality,visual_match_status,duplicate_group_id,master_image_id,rights_status,publication_permission,verification_status,recommended_action,replacement_image_id,evidence,confidence,manual_review_required,notes
P2LINK-000173,LY-HOT-000066,hotels,فندق الصناعية مصراتة,IMG-8A160C24C5814584,assets/images/hotels/hotels-LY-HOTELS-00066-03.webp,gallery,true,thumbnail_only,cannot_determine,DUP-00686,IMG-B25126CC006F8CA8,unknown,requires_review,valid_but_rights_unknown,retain_reference_defer_publication,,"automatic_validation: file, hash, feature and relative path checked",technical_only,true,Existence is not visual identity or rights verification.
P2LINK-000174,LY-HOT-000066,hotels,فندق الصناعية مصراتة,IMG-5FE9D1C44E35D3F6,assets/images/hotels/hotels-LY-HOTELS-00066-04.webp,gallery,true,thumbnail_only,cannot_determine,DUP-01256,IMG-5D6B66F406C99305,unknown,requires_review,valid_but_rights_unknown,retain_reference_defer_publication,,"automatic_validation: file, hash, feature and relative path checked",technical_only,true,Existence is not visual identity or rights verification.
P2LINK-000175,LY-HOT-000066,hotels,فندق الصناعية مصراتة,IMG-F7425ECB148F7AB5,assets/images/hotels/hotels-LY-HOTELS-00066-05.webp,gallery,true,thumbnail_only,cannot_determine,DUP-00243,IMG-AA207F93707D6D21,unknown,requires_review,valid_but_rights_unknown,retain_reference_defer_publication,,"automatic_validation: file, hash, feature and relative path checked",technical_only,true,Existence is not visual identity or rights verification.
P2LINK-000176,LY-HOT-000067,hotels,فندق الصولجان,IMG-506CFAE19599447E,assets/images/hotels/hotels-LY-HOTELS-00067-01.webp,gallery,true,thumbnail_only,cannot_determine,DUP-00543,IMG-214CCC8E1E22A28F,unknown,requires_review,valid_but_rights_unknown,retain_reference_defer_publication,,"automatic_validation: file, hash, feature and relative path checked",technical_only,true,Existence is not visual identity or rights verification.
P2LINK-000177,LY-HOT-000067,hotels,فندق الصولجان,IMG-991BCEB7B6AEAE0E,assets/images/hotels/hotels-LY-HOTELS-00067-02.webp,gallery,true,thumbnail_only,cannot_determine,DUP-01178,IMG-FF76671C87C3E7E7,unknown,requires_review,valid_but_rights_unknown,retain_reference_defer_publication,,"automatic_validation: file, hash, feature and relative path checked",technical_only,true,Existence is not visual identity or rights verification.
P2LINK-000178,LY-HOT-000068,hotels,فندق العاصمة,IMG-2754AC0FDB2BC23D,assets/images/hotels/hotels-LY-HOTELS-00068-01.webp,gallery,true,thumbnail_only,cannot_determine,DUP-00748,IMG-2DF881E5E9936D8A,unknown,requires_review,valid_but_rights_unknown,retain_reference_defer_publication,,"automatic_validation: file, hash, feature and relative path checked",technical_only,true,Existence is not visual identity or rights verification.
P2LINK-000179,LY-HOT-000068,hotels,فندق العاصمة,IMG-B76601CDE905F5C3,assets/images/hotels/hotels-LY-HOTELS-00068-02.webp,gallery,true,thumbnail_only,cannot_determine,DUP-00986,IMG-ADBF0C854015F8CE,unknown,requires_review,valid_but_rights_unknown,retain_reference_defer_publication,,"automatic_validation: file, hash, feature and relative path checked",technical_only,true,Existence is not visual identity or rights verification.
P2LINK-000180,LY-HOT-000068,hotels,فندق العاصمة,IMG-88184E5F0D06C05C,assets/images/hotels/hotels-LY-HOTELS-00068-03.webp,gallery,true,thumbnail_only,cannot_determine,DUP-00536,IMG-EC8E01B6E9F5736C,unknown,requires_review,valid_but_rights_unknown,retain_reference_defer_publication,,"automatic_validation: file, hash, feature and relative path checked",technical_only,true,Existence is not visual identity or rights verification.
P2LINK-000181,LY-HOT-000071,hotels,فندق القوس,IMG-8F2297D7FBB16C96,assets/images/hotels/hotels-LY-HOTELS-00071-01.webp,gallery,true,thumbnail_only,cannot_determine,DUP-00136,IMG-4C4A7EF4E59E1C56,unknown,requires_review,valid_but_rights_unknown,retain_reference_defer_publication,,"automatic_validation: file, hash, feature and relative path checked",technical_only,true,Existence is not visual identity or rights verification.
P2LINK-000182,LY-HOT-000071,hotels,فندق القوس,IMG-28FC6BDA338A11F8,assets/images/hotels/hotels-LY-HOTELS-00071-02.webp,gallery,true,thumbnail_only,cannot_determine,DUP-00012,IMG-65C5523B47F6526F,unknown,requires_review,valid_but_rights_unknown,retain_reference_defer_publication,,"automatic_validation: file, hash, feature and relative path checked",technical_only,true,Existence is not visual identity or rights verification.
