path,filename,width,height,format,sha256,keywords,likely_feature,publication_status,duplicate_group,used_currently
شحات/شحات  3.jpg,شحات  3.jpg,600,400,JPEG,e8eaf1bf5928842b94ca497bedc977403e28fdefbe96dbeee3d7a52f186ccc8a,شحات,site_general,official_local,DUP-0036,no
شحات/شحات  5.jpg,شحات  5.jpg,580,400,JPEG,ae2557533cfe00f28d176136b127704d59183d1ee6a5fbf4b6530e1b030a06a9,شحات,site_general,official_local,DUP-0028,no
شحات/شحات 4.jpg,شحات 4.jpg,560,420,JPEG,351ebd0d6c9c973aa51e11391ee397c3df1bb4cbb72d312572deb596dfce695c,شحات,site_general,official_local,DUP-0019,no
شحات/شحات 5.jpg,شحات 5.jpg,640,360,JPEG,7ca0bd5dee4c91f811fc950ae71db5763075f13c5668d436ce03f49e2bd2d709,شحات,site_general,official_local,DUP-0043,no
شحات/شحات 52.jpg,شحات 52.jpg,640,183,JPEG,ecf5247b4446e099d31bbebbfca3084c080ae333208cd921d35c80a853e64822,شحات,site_general,official_local,DUP-0024,no
شحات/شحات 7.jpg,شحات 7.jpg,615,461,JPEG,889723d9fe9ef4d252a35ff1eaf685352c60f8bc71883e438abea72e7abd5700,شحات,site_general,official_local,DUP-0033,no
شحات/شحات.JPG,شحات.JPG,499,600,JPEG,b686098d30e75955bb0794549b5665d640682ab39f73430ed01c51fb3346db7a,شحات,site_general,official_local,DUP-0011,no
شحات/شحات1 (2).jpg,شحات1 (2).jpg,1578,1113,JPEG,c7829386455e43490508c32cc5d71e9c5f1e39b694619759580d0c9ac3936505,شحات,site_general,official_local,DUP-0038,no
شحات/شحات2 (2).jpg,شحات2 (2).jpg,1471,1071,JPEG,4e98e1545e8e421e66843849a3cee4cdd2a96cffe0354a34dbc108fbf73a0041,شحات,site_general,official_local,DUP-0040,no
شحات/شحات4.jpg,شحات4.jpg,1225,908,JPEG,d169f224f12bdeb5f3a3bf0a9a5e074a9f5faa83e41942f4b4daa3ae1696663e,شحات,site_general,official_local,DUP-0007,no
شحات/معبد زيوس.jpeg,معبد زيوس.jpeg,1280,853,JPEG,3204f45b5ead6fe0df6f665aa5c8769e354073430e03b72c9475dd00f396653e,معبد,temple-of-zeus,official_local,DUP-0001,no
