path,filename,extension,file_size,width,height,sha256,expected_site,publication_status,used_currently,duplicate_group
assets/media/LIBYA/heritage/leptis-magna/published/review-required/official-002.jpeg,official-002.jpeg,.jpeg,174820,1080,1080,d5179154990536a1faf19b6e92581196a3f9b4cdd9cea0122ee5f6a76a717898,,review_required,no,DUP-0083
assets/media/LIBYA/heritage/leptis-magna/published/review-required/official-003.jpeg,official-003.jpeg,.jpeg,124432,1080,1080,57d62df802ad2c6517f6f72d1a61ff67e364024010b6479d0f09032063064ef7,,review_required,no,DUP-0084
assets/media/LIBYA/heritage/leptis-magna/published/review-required/official-004.jpeg,official-004.jpeg,.jpeg,174820,1080,1080,d5179154990536a1faf19b6e92581196a3f9b4cdd9cea0122ee5f6a76a717898,,review_required,no,DUP-0083
assets/media/LIBYA/heritage/leptis-magna/published/review-required/official-005.jpeg,official-005.jpeg,.jpeg,96507,810,1080,c8c4add5e99e03a9e78adb8fb8c868fef158c9acbd44d66d7a069edb58f9dc34,,review_required,no,DUP-0085
assets/media/LIBYA/heritage/leptis-magna/published/review-required/official-006.jpeg,official-006.jpeg,.jpeg,144618,836,1080,30524ac72571041e439ea9547f820f88634392bf2e40b1285033e54dbad89674,,review_required,no,DUP-0086
assets/media/LIBYA/heritage/leptis-magna/published/review-required/official-007.jpeg,official-007.jpeg,.jpeg,85695,750,1000,4e78cad5e554177fc44ba4b9941ee13cef10f379f722ba1096db0f39c99d3544,,review_required,no,DUP-0087
assets/media/LIBYA/heritage/leptis-magna/published/review-required/official-008.jpeg,official-008.jpeg,.jpeg,142567,1080,1080,72b85afa6ca0250d6afd0c2ba4dc098f4a300ec929ae439c537e7c4d7128d36e,,review_required,no,DUP-0088
assets/media/LIBYA/heritage/leptis-magna/published/review-required/official-009.jpeg,official-009.jpeg,.jpeg,106007,750,1000,a3c461db57c74a23d1fdd58b7428ef8d293af0d06601c19c34a4d191cad62c8d,,review_required,no,DUP-0089
assets/media/LIBYA/heritage/leptis-magna/published/review-required/official-010.jpeg,official-010.jpeg,.jpeg,129558,1080,811,3cde9251ae52d7c7e5bc45fcec714cb3f5e62424a6a427ba1199af28df218fb8,,review_required,no,DUP-0090
assets/media/LIBYA/heritage/leptis-magna/published/review-required/official-011.jpeg,official-011.jpeg,.jpeg,135515,1000,750,124b33a5f5d5f40bafcc0469f5cb4961cf3591b7378ae443a8156907567934a8,,review_required,no,DUP-0091
assets/media/LIBYA/heritage/leptis-magna/published/review-required/official-012.jpeg,official-012.jpeg,.jpeg,126593,1000,750,a921bdb1470142c4d92a90c47c8989e385d27bb281d59a8de1a6293fb7cc958c,,review_required,no,DUP-0092
