feature_id,image_id,technical_quality,resolution,aspect_ratio,sharpness_available,brightness_available,file_health,master_status,watermark_detectable_if_metadata_or_visual_review,duplicate_status,notes
LY-HOT-000138,IMG-29F498B195A17DAE,thumbnail_only,recorded_in_phase_1_inventory,recorded_in_phase_1_inventory,not_recomputed,not_recomputed,valid_linkage_record,master_candidate,requires_manual_review,candidate_only,
LY-HOT-000143,IMG-C04C7358AE4C64F2,thumbnail_only,recorded_in_phase_1_inventory,recorded_in_phase_1_inventory,not_recomputed,not_recomputed,valid_linkage_record,master_candidate,requires_manual_review,candidate_only,
LY-HOT-000145,IMG-4F1BF241FA1C1032,thumbnail_only,recorded_in_phase_1_inventory,recorded_in_phase_1_inventory,not_recomputed,not_recomputed,valid_linkage_record,master_candidate,requires_manual_review,candidate_only,
LY-HOT-000148,IMG-1E9790A7A8F159ED,thumbnail_only,recorded_in_phase_1_inventory,recorded_in_phase_1_inventory,not_recomputed,not_recomputed,valid_linkage_record,master_candidate,requires_manual_review,candidate_only,
LY-HOT-000150,IMG-03C03752D4FFB0D9,thumbnail_only,recorded_in_phase_1_inventory,recorded_in_phase_1_inventory,not_recomputed,not_recomputed,valid_linkage_record,distinct_candidate,requires_manual_review,candidate_only,
LY-HOT-000151,IMG-7408B0FEE6E15B14,thumbnail_only,recorded_in_phase_1_inventory,recorded_in_phase_1_inventory,not_recomputed,not_recomputed,valid_linkage_record,master_candidate,requires_manual_review,candidate_only,
LY-HOT-000152,IMG-E3245A512704B018,thumbnail_only,recorded_in_phase_1_inventory,recorded_in_phase_1_inventory,not_recomputed,not_recomputed,valid_linkage_record,master_candidate,requires_manual_review,candidate_only,
LY-HOT-000154,IMG-4DE50FE5C77F11DC,thumbnail_only,recorded_in_phase_1_inventory,recorded_in_phase_1_inventory,not_recomputed,not_recomputed,valid_linkage_record,distinct_candidate,requires_manual_review,candidate_only,
LY-HOT-000155,IMG-C1A63B7C18A696CC,thumbnail_only,recorded_in_phase_1_inventory,recorded_in_phase_1_inventory,not_recomputed,not_recomputed,valid_linkage_record,master_candidate,requires_manual_review,candidate_only,
LY-HOT-000157,IMG-65010E3F7285D3C4,thumbnail_only,recorded_in_phase_1_inventory,recorded_in_phase_1_inventory,not_recomputed,not_recomputed,valid_linkage_record,master_candidate,requires_manual_review,candidate_only,
LY-HOT-000158,IMG-4F0A3CE02FA1B883,thumbnail_only,recorded_in_phase_1_inventory,recorded_in_phase_1_inventory,not_recomputed,not_recomputed,valid_linkage_record,master_candidate,requires_manual_review,candidate_only,
LY-HOT-000160,IMG-4ECEDB1678C21ED6,thumbnail_only,recorded_in_phase_1_inventory,recorded_in_phase_1_inventory,not_recomputed,not_recomputed,valid_linkage_record,master_candidate,requires_manual_review,candidate_only,
LY-HOT-000163,IMG-4D69B0877B8F026F,thumbnail_only,recorded_in_phase_1_inventory,recorded_in_phase_1_inventory,not_recomputed,not_recomputed,valid_linkage_record,master_candidate,requires_manual_review,candidate_only,
LY-HOT-000164,IMG-36DA0CCAB2BCB61C,thumbnail_only,recorded_in_phase_1_inventory,recorded_in_phase_1_inventory,not_recomputed,not_recomputed,valid_linkage_record,master_candidate,requires_manual_review,candidate_only,
LY-HOT-000166,IMG-D345EAAFD727F3C0,thumbnail_only,recorded_in_phase_1_inventory,recorded_in_phase_1_inventory,not_recomputed,not_recomputed,valid_linkage_record,master_candidate,requires_manual_review,candidate_only,
LY-HOT-000169,IMG-87993A1E3CB548BA,thumbnail_only,recorded_in_phase_1_inventory,recorded_in_phase_1_inventory,not_recomputed,not_recomputed,valid_linkage_record,master_candidate,requires_manual_review,candidate_only,
LY-HOT-000171,IMG-1DBC5EAF16A5E4BE,thumbnail_only,recorded_in_phase_1_inventory,recorded_in_phase_1_inventory,not_recomputed,not_recomputed,valid_linkage_record,master_candidate,requires_manual_review,candidate_only,
LY-HOT-000181,IMG-ED94159E9BC6C717,thumbnail_only,recorded_in_phase_1_inventory,recorded_in_phase_1_inventory,not_recomputed,not_recomputed,valid_linkage_record,master_candidate,requires_manual_review,candidate_only,
LY-HOT-000187,IMG-3B56150C8DAA5F16,thumbnail_only,recorded_in_phase_1_inventory,recorded_in_phase_1_inventory,not_recomputed,not_recomputed,valid_linkage_record,master_candidate,requires_manual_review,candidate_only,
