feature_id,current_layer_id,name_ar,name_en,current_facility_type,proposed_facility_type,classification_basis,confidence,manual_confirmation_required,notes
LY-HOT-000190,hotels,فندق أمال ليبيا,,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000191,hotels,فندق أوجلة السياحي,,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000192,hotels,فندق أويا,,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000193,hotels,فندق باب البحر,Bab Al Bahr Hotel,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000194,hotels,فندق براك,,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000195,hotels,فندق برينيتشي,,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000196,hotels,فندق بلازما,Plasma HOTEL,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000198,hotels,فندق بنغازي,,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000201,hotels,فندق توباكتس,Thobacts Hotel,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000202,hotels,فندق تيبستي,,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000203,hotels,فندق جاكرتا,,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000204,hotels,فندق جالو السياحي,,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000205,hotels,فندق جرمة السياحي,,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000206,hotels,فندق جليانة,,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000207,hotels,فندق دار جرمة,,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000208,hotels,فندق دوجال السياحي,,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000209,hotels,فندق ديار الهناء,,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000210,hotels,فندق رواسي,,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000211,hotels,فندق رويال,,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000212,hotels,فندق ريباس,,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000216,hotels,فندق زهرة البطنان,,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000218,hotels,فندق زين,,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000221,hotels,فندق سفيروس الخمس,Severus Hotel,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000223,hotels,فندق صحارى ليبيا,Sahara Libya Hotel,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000226,hotels,فندق عمر الخيام,,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000229,hotels,فندق فيلا النوران,,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000230,hotels,فندق قاطش,,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000232,hotels,فندق قصر البيضاء,,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000234,hotels,فندق قصر الفضيل,,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000236,hotels,فندق قصر النيل,,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000237,hotels,فندق قصر الواحة,,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000238,hotels,فندق قصور الضيافة,,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000239,hotels,فندق قصي للشقق المفروشة,,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000241,hotels,فندق قورينا,,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000243,hotels,فندق لؤلؤة درنة,Derna Pearl Hotel,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000246,hotels,فندق ميزران,,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000247,hotels,فندق هارون,,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000251,hotels,الفندق السياحي,,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000252,hotels,الفندق القديم,,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000253,hotels,الفندق الكبير,,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000254,hotels,القرية السياحية قاريونس,,tourist_village,hotel,runtime layer hotels,high,false,
LY-HOT-000256,hotels,نزل المدينة,,hostel,hotel,runtime layer hotels,high,false,
LY-HOT-000257,hotels,نزل أمباي,,hostel,hotel,runtime layer hotels,high,false,
LY-HOT-000258,hotels,نزل بيروت,Hotel Beirut,hostel,hotel,runtime layer hotels,high,false,
LY-HOT-000260,hotels,نزل مرحبا,,hostel,hotel,runtime layer hotels,high,false,
LY-HOT-000261,hotels,الماسة للشقق الفندقية,,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000262,hotels,فندق فزان,,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000263,hotels,فندق المختار,Al Mukhtar Hotel,hostel,hotel,runtime layer hotels,high,false,
