source_index,source_folder,raw_name,normalized_name,longitude,latitude,geometry_type,description,exclusion_reason,source_file
88,مدينة لبدة الاثرية الكبرى,,,,,Polygon,المدينة: <br>التصنيف: <br>Subcategory_التصنيف الفرعي: <br>MUNICIPALITY: <br>region_المنطقة: <br>الوصف: <br>en_name: <br>popupinfo: <br>type: <br>Description_EN: <br>Description_AR: <br>Latitude: <br>logitude:,unnamed_feature_excluded_by_project_decision,data/incoming/world-heritage-team-update.kml
89,مدينة لبدة الاثرية الكبرى,,,,,Polygon,المدينة: <br>التصنيف: <br>Subcategory_التصنيف الفرعي: <br>MUNICIPALITY: <br>region_المنطقة: <br>الوصف: <br>en_name: <br>popupinfo: <br>type: <br>Description_EN: <br>Description_AR: <br>Latitude: <br>logitude:,unnamed_feature_excluded_by_project_decision,data/incoming/world-heritage-team-update.kml
90,مدينة لبدة الاثرية الكبرى,,,,,Polygon,المدينة: <br>التصنيف: <br>Subcategory_التصنيف الفرعي: <br>MUNICIPALITY: <br>region_المنطقة: <br>الوصف: <br>en_name: <br>popupinfo: <br>type: <br>Description_EN: <br>Description_AR: <br>Latitude: <br>logitude:,unnamed_feature_excluded_by_project_decision,data/incoming/world-heritage-team-update.kml
91,مدينة لبدة الاثرية الكبرى,,,,,Polygon,المدينة: <br>التصنيف: <br>Subcategory_التصنيف الفرعي: <br>MUNICIPALITY: <br>region_المنطقة: <br>الوصف: <br>en_name: <br>popupinfo: <br>type: <br>Description_EN: <br>Description_AR: <br>Latitude: <br>logitude:,unnamed_feature_excluded_by_project_decision,data/incoming/world-heritage-team-update.kml
92,مدينة لبدة الاثرية الكبرى,,,,,Polygon,المدينة: <br>التصنيف: <br>Subcategory_التصنيف الفرعي: <br>MUNICIPALITY: <br>region_المنطقة: <br>الوصف: <br>en_name: <br>popupinfo: <br>type: <br>Description_EN: <br>Description_AR: <br>Latitude: <br>logitude:,unnamed_feature_excluded_by_project_decision,data/incoming/world-heritage-team-update.kml
94,مدينة لبدة الاثرية الكبرى,,,,,Polygon,المدينة: <br>التصنيف: <br>Subcategory_التصنيف الفرعي: <br>MUNICIPALITY: <br>region_المنطقة: <br>الوصف: <br>en_name: <br>popupinfo: <br>type: <br>Description_EN: <br>Description_AR: <br>Latitude: <br>logitude:,unnamed_feature_excluded_by_project_decision,data/incoming/world-heritage-team-update.kml
95,مدينة لبدة الاثرية الكبرى,,,,,Polygon,المدينة: <br>التصنيف: <br>Subcategory_التصنيف الفرعي: <br>MUNICIPALITY: <br>region_المنطقة: <br>الوصف: <br>en_name: <br>popupinfo: <br>type: <br>Description_EN: <br>Description_AR: <br>Latitude: <br>logitude:,unnamed_feature_excluded_by_project_decision,data/incoming/world-heritage-team-update.kml
96,مدينة لبدة الاثرية الكبرى,,,,,Polygon,المدينة: <br>التصنيف: <br>Subcategory_التصنيف الفرعي: <br>MUNICIPALITY: <br>region_المنطقة: <br>الوصف: <br>en_name: <br>popupinfo: <br>type: <br>Description_EN: <br>Description_AR: <br>Latitude: <br>logitude:,unnamed_feature_excluded_by_project_decision,data/incoming/world-heritage-team-update.kml
97,مدينة لبدة الاثرية الكبرى,,,,,Polygon,المدينة: <br>التصنيف: <br>Subcategory_التصنيف الفرعي: <br>MUNICIPALITY: <br>region_المنطقة: <br>الوصف: <br>en_name: <br>popupinfo: <br>type: <br>Description_EN: <br>Description_AR: <br>Latitude: <br>logitude:,unnamed_feature_excluded_by_project_decision,data/incoming/world-heritage-team-update.kml
99,مدينة لبدة الاثرية الكبرى,,,,,Polygon,المدينة: <br>التصنيف: <br>Subcategory_التصنيف الفرعي: <br>MUNICIPALITY: <br>region_المنطقة: <br>الوصف: <br>en_name: <br>popupinfo: <br>type: <br>Description_EN: <br>Description_AR: <br>Latitude: <br>logitude:,unnamed_feature_excluded_by_project_decision,data/incoming/world-heritage-team-update.kml
