source_index,source_name,normalized_name,longitude,latitude,geometry_status,description_status,image_url,image_status,style_url,folder,duplicate_name_status,duplicate_coordinate_status,notes
189,كافي باب المدينة,كافيبابالمدينه,13.1677137,32.8877639,valid,available,,no_image,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
190,مطعم لبرتون,مطعملبرتون,13.167354,32.8883447,valid,available,,no_image,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
191,مقهى ثمانية وثمانون - 88,مقهيثمانيهوثمانون88,13.1674525,32.8885213,valid,available,,no_image,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
192,كافي 88 للوجبات السريعة,كافي88للوجباتالسريعه,13.1676029,32.888539,valid,available,,no_image,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
193,اللموشي للسندوتشات,اللموشيللسندوتشات,13.1694927,32.8888582,valid,available,,no_image,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
194,مطعم الطاهي للمأكولات البحرية,مطعمالطاهيللماكولاتالبحريه,13.1697351,32.8888196,valid,available,,no_image,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
195,Cafe Latte,cafelatte,13.17035,32.8901144,valid,available,,no_image,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
196,زهير بريش للحلويات الببو,زهيربريشللحلوياتالببو,13.1779956,32.8889719,valid,available,,no_image,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
197,قهوة المسيرة,قهوهالمسيره,13.1728838,32.8876852,valid,available,,no_image,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
198,كافي الوافي,كافيالوافي,13.1770545,32.884367,valid,available,,no_image,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
199,Karo Café - كارو كافي,karocaféكاروكافي,13.1829584,32.8858324,valid,available,,no_image,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
200,Resto coffe,restocoffe,13.1935014,32.8710562,valid,available,,no_image,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
201,مقهى تن,مقهيتن,13.1973578,32.8714497,valid,available,,no_image,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
202,Big mac burger,bigmacburger,13.1984807,32.8707113,valid,available,,no_image,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
203,THEGATE,thegate,13.1974671,32.8687101,valid,available,,no_image,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
204,كافي روت 66,كافيروت66,13.2070718,32.8652299,valid,available,,no_image,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
205,كلاسيكو كافي,كلاسيكوكافي,13.2096853,32.8558378,valid,available,,no_image,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
206,8800,8800,13.1969323,32.854788,valid,available,,no_image,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
207,كودو - فرع حي دمشق,كودوفرعحيدمشق,13.2023777,32.8529666,valid,available,,no_image,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
208,مقهى المجلس,مقهيالمجلس,13.2049559,32.8390187,valid,available,,no_image,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
209,مقهى البوعة,مقهيالبوعه,13.2092237,32.8373424,valid,available,,no_image,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
210,كافي مقيق,كافيمقيق,13.2080703,32.8375804,valid,available,,no_image,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
211,قهوة همبورقه,قهوههمبورقه,13.2159007,32.8371988,valid,available,,no_image,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
212,Cafe bene,cafebene,13.214886,32.8251604,valid,available,,no_image,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
213,مطعم Andary فرع صلاح الدين,مطعمandaryفرعصلاحالدين,13.2158205,32.8253336,valid,available,,no_image,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
214,مقهى الوادي,مقهيالوادي,13.2144953,32.823517,valid,available,,no_image,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
215,La Casa04,lacasa04,13.216722,32.8233974,valid,available,,no_image,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
216,الحاج فتحي - عين زارة,الحاجفتحيعينزاره,13.2553479,32.8296075,valid,available,,no_image,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
