id,name_ar,facility_type_code,district_ar,longitude,latitude,match_status,data_quality_status,completeness_percent,image_status
LY-FNB-CAF-TRI-00055,Atomo Cafe,cafe,,13.186552,32.884002,new_feature,low,27,no_image
LY-FNB-CAF-TRI-00056,Bono Cafe,cafe,,13.190741,32.881409,new_feature,low,27,no_image
LY-FNB-CAF-TRI-00057,كافي أربن,cafe,,13.2607842,32.8866096,new_feature,low,27,no_image
LY-FNB-CAF-TRI-00058,Mio Caffe and Resto,cafe_restaurant,,13.132507,32.877077,new_feature,low,27,no_image
LY-FNB-CAF-TRI-00059,Tripoli Tur café,cafe,,13.188248,32.890833,new_feature,low,27,no_image
LY-FNB-CAF-TRI-00060,كافيه ميدان الجزائر,cafe,,13.185674,32.891294,new_feature,low,27,no_image
LY-FNB-CAF-TRI-00061,Cafe Bali,cafe,,13.214207,32.894252,new_feature,low,27,no_image
LY-FNB-CAF-TRI-00062,حلويات اتش دبليو,dessert_cafe,,13.216463,32.892984,new_feature,low,27,no_image
LY-FNB-CAF-TRI-00063,اوميجا كلوب,review_required,,13.232202,32.86223,new_feature,low,18,no_image
LY-FNB-CAF-TRI-00064,قهوة القصور,coffee_shop,,13.197718,32.860739,new_feature,low,27,no_image
LY-FNB-CAF-TRI-00065,ثراء,review_required,,13.212441,32.892525,new_feature,low,18,no_image
LY-FNB-CAF-TRI-00066,ديب ان ديب ليبيا,review_required,,13.123672,32.874807,new_feature,low,18,no_image
LY-FNB-CAF-TRI-00067,فيول كافي,cafe,,13.185142,32.886318,new_feature,low,27,no_image
LY-FNB-CAF-TRI-00068,كافي سويت,cafe,,13.181128,32.892216,new_feature,low,27,no_image
LY-FNB-CAF-TRI-00069,شيك أب,review_required,,13.204993,32.87639,new_feature,low,18,no_image
LY-FNB-CAF-TRI-00070,الحاج فتحي,traditional_cafe,,13.191318,32.887188,new_feature,low,27,no_image
LY-FNB-CAF-TRI-00071,ساموراي,review_required,,13.206297,32.893612,new_feature,low,18,no_image
LY-FNB-CAF-TRI-00072,مقهى ومطعم فلانيل,cafe_restaurant,,13.205742,32.880593,new_feature,low,27,no_image
LY-FNB-CAF-TRI-00073,بونو كافيه,cafe,,13.194153,32.890814,new_feature,low,27,no_image
LY-FNB-CAF-TRI-00074,مقهى رواق الوليد,cafe,,13.194537,32.892031,new_feature,low,27,no_image
LY-FNB-CAF-TRI-00075,1ONE DEGREE CAFE,cafe,,13.185042,32.891821,new_feature,low,27,no_image
LY-FNB-CAF-TRI-00076,كافي 33,cafe,,13.210683,32.891548,new_feature,low,27,no_image
LY-FNB-CAF-TRI-00077,Doctor Sweets,dessert_cafe,,13.193039,32.888542,new_feature,low,27,no_image
LY-FNB-CAF-TRI-00078,مقهى عصام,cafe,,13.172706,32.878259,new_feature,low,27,no_image
LY-FNB-CAF-TRI-00079,بولو كافي,cafe,,13.182839,32.88626,new_feature,low,27,no_image
LY-FNB-CAF-TRI-00080,براند كافي,cafe,,13.211995,32.897386,new_feature,low,27,no_image
LY-FNB-CAF-TRI-00081,روبوستا كافي,cafe,,13.208869,32.887899,new_feature,low,27,no_image
LY-FNB-CAF-TRI-00082,CAFE EXPRESSO,cafe,,13.174942,32.884004,new_feature,low,27,no_image
