id,name_ar,name_en,facility_type_code,municipality_ar,longitude,latitude,match_status,data_quality_status,data_completeness_percent,source_image_status
LY-ACC-RES-KHO-00008,قرية الشاطيء الذهبي,Golden Beach Village,tourist_resort,الخمس,14.05915,32.71876,exact_match,medium,50,temporary_google_url
LY-ACC-RES-KHO-00009,منتجع سي شيلز,SeaShells Beach Resort,tourist_resort,الخمس,14.190261,32.704827,exact_match,medium,50,temporary_google_url
LY-ACC-RES-KHO-00010,منتجع حوض البحر Seapool Resort,Seapool Resort (منتجع حوض البحر),tourist_village,الخمس,14.060749,32.722251,exact_match,medium,50,temporary_google_url
LY-ACC-RES-KHO-00011,قرية الخمس السياحية,العنوان/المدينة:,accommodation_resort_other,الخمس,14.277922,32.645768,exact_match,medium,64,temporary_google_url
LY-ACC-RES-KHO-00012,قريه غنيمه العائليه,منتجع غنيمة السياحي Ghanima Resort&spa,family_resort,الخمس,14.27806,32.64588,exact_match,medium,50,temporary_google_url
LY-ACC-RES-KHO-00013,قرية اكوا مارين السياحية,قرية أكوامارين السياحية - Aquamarine,tourist_village,الخمس,14.034,32.72555,exact_match,medium,50,temporary_google_url
LY-ACC-RES-KHO-00014,قرية جنيف العائلية غنيمة,قرية جنيف السياحية غنيمة Geneve,family_resort,الخمس,14.03118,32.72632,exact_match,medium,50,temporary_google_url
LY-ACC-RES-KHO-00015,منتجع شاطئ غنيمة,Ghanima beach resort & spa منتجع وشاطيء غنيمه,tourist_village,الخمس,14.054075,32.721054,exact_match,medium,50,temporary_google_url
LY-ACC-RES-KHO-00016,شاليهات بن حمودة العائلي,شاليهات بن حمودة العائلي - Shalehat ben hammoda,family_resort,الخمس,14.036992,32.724932,exact_match,medium,50,temporary_google_url
LY-ACC-RES-NAT-00004,منتجع كريستال السياحي,منتجع كريستال 2 السياحي,tourist_resort,,13.635274,32.787534,exact_match,low,43,temporary_google_url
LY-ACC-RES-NAT-00005,منتجع رويال السياحي,منتجع رويال السياحي villa 34,tourist_resort,,13.664968,32.788072,exact_match,low,43,temporary_google_url
LY-ACC-RES-NAT-00006,القويعة,Goweea sea resorts,beach_resort,,13.63224,32.788705,exact_match,medium,50,temporary_google_url
LY-ACC-RES-NAT-00007,منتجع فيلا دريم هاوس,فيلا دريم هاوس Dream house,tourist_resort,,13.672592,32.786663,exact_match,low,43,temporary_google_url
LY-ACC-RES-NAT-00008,منتجع شط مريم,العنوان/المدينة:,tourist_resort,,13.662328,32.788894,exact_match,low,43,no_image
LY-ACC-RES-NAT-00009,استراحة الجود القويعه,العنوان/المدينة:,tourist_resort,,13.632986,32.788413,exact_match,low,43,temporary_google_url
LY-ACC-RES-NAT-00010,منتجع اتش تي السياحي,منتجع اتش تي السياحي -HT,tourist_resort,,13.63298,32.7864,exact_match,low,43,temporary_google_url
LY-ACC-RES-NAT-00011,منتجع اتش تي 3,HT3 Resort,tourist_resort,,13.642859,32.786514,exact_match,low,43,temporary_google_url
LY-ACC-RES-NAT-00012,منتجع شاليهات للاجار,العنوان/المدينة:,tourist_resort,,13.644477,32.787918,exact_match,low,43,no_image
LY-ACC-RES-NAT-00013,قرية العطايا العائلية,قرية العطايا العائلية AtAYA,family_resort,,13.675653,32.789468,exact_match,low,43,temporary_google_url
LY-ACC-RES-NAT-00014,منتجع برستيج,منتجع برستيج السياحي PRESTIGE RESORT,tourist_resort,,13.66734,32.787004,exact_match,low,43,temporary_google_url
LY-ACC-RES-NAT-00015,قرية القويعة السياحية,العنوان/المدينة:,tourist_village,,13.63431,32.787161,exact_match,low,43,temporary_google_url
LY-ACC-RES-NAT-00016,شاليهات بن بية,العنوان/المدينة:,tourist_resort,,13.64435,32.787928,exact_match,low,43,no_image
LY-ACC-RES-NAT-00017,قرية ميار البحر العائليه,قرية ميار البحر العائلية - القره بولي MAYAR AL BAHR VILLAGE,family_resort,,13.68749,32.789744,exact_match,low,43,temporary_google_url
LY-ACC-RES-NAT-00018,قرية أغيث السياحية,منتجع أغيث - Agith Resort,tourist_village,,13.645681,32.787654,exact_match,low,43,temporary_google_url
LY-ACC-RES-NAT-00019,قرية الخلة السياحية العائلية,العنوان/المدينة:,family_resort,,13.679539,32.789005,exact_match,low,43,temporary_google_url
LY-ACC-RES-NAT-00020,مجمع جواهر لاند,العنوان/المدينة:,tourist_village,,13.646366,32.787247,exact_match,low,43,no_image
LY-ACC-RES-NAT-00021,منتجع دار البحر,العنوان/المدينة:,tourist_village,,13.64709,32.787622,exact_match,low,43,temporary_google_url
LY-ACC-RES-NAT-00022,منتجع وادي بالنور,منتجع وادي بنور WBR,family_resort,,13.59408,32.792644,exact_match,low,43,temporary_google_url
LY-ACC-RES-NAT-00023,منتجع بيتش هاوس,إستراحات بيتش هاوس Beach house,tourist_village,,14.058072,32.717408,exact_match,low,43,temporary_google_url
LY-ACC-RES-NAT-00024,قرية قوس غنيمة السياحية,قرية قوس غنيمة السياحية,tourist_village,,14.05612,32.722872,exact_match,low,43,temporary_google_url
LY-ACC-RES-NAT-00025,منتجع ايليت السياحي,منتجع ايليت السياحي Elite Resorts,tourist_village,,13.658897,32.788973,exact_match,low,43,temporary_google_url
